open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
205.52,207.4899,201.25,203.19,102947073.0,207.49,201.25,203.19,205.54,103419006.0,1.0,0.0,AAPL,XNAS,2025-04-03
546.22,552.5596,530.3,531.62,34777460.0,552.5596,530.3,531.62,546.22,34777460.0,1.0,0.0,META,ARCX,2025-04-03
374.79,377.48,369.35,373.11,30147000.0,377.48,369.35,373.11,374.785,30197997.0,1.0,0.0,MSFT,XNAS,2025-04-03
265.29,276.3,261.51,267.28,136174291.0,276.3,261.51,267.28,265.29,136174291.0,1.0,0.0,TSLA,XNAS,2025-04-03
