open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
193.89,199.88,187.34,188.38,125569000.0,199.88,187.34,188.38,193.89,125910913.0,1.0,0.0,AAPL,XNAS,2025-04-04
506.62,518.0,494.2,504.73,38589814.0,518.0,494.2,504.73,506.62,38589814.0,1.0,0.0,META,ARCX,2025-04-04
364.125,374.59,359.48,359.84,49209854.0,374.59,359.48,359.84,364.125,49209854.0,1.0,0.0,MSFT,XNAS,2025-04-04
255.38,261.0,236.0,239.43,181229353.0,261.0,236.0,239.43,255.38,181229353.0,1.0,0.0,TSLA,XNAS,2025-04-04
