open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
221.19,225.19,221.05,223.89,31731885.0,225.19,221.02,223.89,221.315,35905904.0,1.0,0.0,AAPL,XNAS,2025-04-02
574.91,592.66,573.36,583.93,13470778.0,592.66,573.36,583.93,574.91,13470778.0,1.0,0.0,META,ARCX,2025-04-02
377.965,385.08,376.62,382.14,15524858.0,385.08,376.62,382.14,377.965,16092555.0,1.0,0.0,MSFT,XNAS,2025-04-02
254.6,284.99,251.27,282.76,212787817.0,284.99,251.27,282.76,254.6,212787817.0,1.0,0.0,TSLA,XNAS,2025-04-02
